id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1Fo4OvzP9PThFKMeMIAEYu,0.6809999999999999,0.34,7,-8.617,1,0.0339,0.82,0.0,0.285,0.41700000000000004,129.98,179998,4
6fFTPGGItuEpjwXRUIr4rk,0.7979999999999999,0.175,0,-12.603,1,0.0594,0.603,0.0,0.625,0.633,93.994,181520,4
5y2TuOFgwlpztHlqENHQOE,0.37,0.281,4,-11.761,1,0.0424,0.897,0.00168,0.0952,0.29600000000000004,75.191,219300,4
6zTKuNMEU3svBn65L6u88M,0.768,0.589,8,-8.991,0,0.0403,0.00417,2.6700000000000002e-05,0.136,0.757,97.979,199380,4
1wsLHgXJ4SKIfd5ePSX1hD,0.652,0.897,7,-4.481,0,0.036000000000000004,0.293,0.0,0.0722,0.475,114.03299999999999,193377,4
6r3baE6njwU4aoJq6zPukG,0.6609999999999999,0.41200000000000003,0,-6.585,1,0.0409,0.17300000000000001,0.0,0.113,0.299,85.932,205463,4
2fLyikLZmHxW4XdToFpDdN,0.667,0.478,2,-5.345,1,0.0316,0.2,0.0,0.0927,0.337,113.50200000000001,233029,4
0kSkoCQscbi53ehDY17PlA,0.491,0.588,0,-5.377999999999999,1,0.0439,0.18600000000000003,0.0,0.13,0.365,67.938,227782,4
7ce20yLkzuXXLUhzIDoZih,0.45899999999999996,0.575,3,-4.8580000000000005,1,0.0573,0.604,0.0,0.0885,0.183,111.881,215107,4
3ngc7rGlfeFaskU90EWl4R,0.494,0.637,5,-6.381,1,0.0333,0.669,0.0,0.0882,0.1,147.924,274693,4
2ZrHbO88rM6Ijeg0aJmSzl,0.675,0.604,1,-6.266,1,0.193,0.752,0.0,0.111,0.456,168.03400000000002,190533,4
575NJxNUVDqwJGdzBrlLbv,0.706,0.855,10,-5.377000000000001,1,0.215,0.0911,0.0,0.34700000000000003,0.293,107.184,201253,4
1mpD5Q8IM32I4bF6eCpU74,0.665,0.7120000000000001,1,-7.5360000000000005,1,0.0527,0.00103,0.0034200000000000003,0.102,0.669,93.98899999999999,157220,4
1wjzFQodRWrPcQ0AnYnvQ9,0.752,0.505,9,-7.621,1,0.253,0.535,2.55e-06,0.10400000000000001,0.419,91.97,197437,4
5rWjy4ys7LdinaFKZQBlZh,0.517,0.525,9,-7.494,0,0.0492,0.217,0.0,0.107,0.478,170.049,240867,4
0ibG3XCJ32Qq9maUY4AViR,0.7959999999999999,0.53,8,-5.9670000000000005,1,0.0558,0.69,0.0,0.0646,0.754,105.031,177141,4
0CZ8lquoTX2Dkg7Ak2inwA,0.6,0.535,4,-7.042999999999999,1,0.107,0.648,4.7e-06,0.162,0.26899999999999996,71.91199999999999,225133,4
79QsAQKkk3hlOC6yV1uKdg,0.495,0.39,0,-7.375,1,0.0346,0.649,0.0,0.109,0.322,117.78399999999999,253360,4
64TfjW0Ebj9Uq0ik2OfmE7,0.628,0.485,0,-6.2989999999999995,1,0.0314,0.8109999999999999,0.0,0.113,0.484,94.781,232651,4
4Pbg79cTBu4vgSphoyNq3j,0.6970000000000001,0.6829999999999999,1,-2.8810000000000002,0,0.11699999999999999,0.0372,0.0,0.13699999999999998,0.603,96.133,186987,4
75MKHk9JSlu8MOixmQ982v,0.376,0.21100000000000002,4,-11.665,1,0.0364,0.797,0.0,0.196,0.228,94.7,144720,3
75ylrnob5O80WTKi9ugZ1Z,0.72,0.6579999999999999,2,-7.414,1,0.0446,0.0329,0.0302,0.12300000000000001,0.134,98.001,171898,4
5pBZoZhlYKgzdjdqtbBeXX,0.488,0.22699999999999998,7,-8.097999999999999,1,0.0422,0.893,3.25e-06,0.095,0.331,128.131,203867,4
026IC4Vj88QjLlnIPDExhz,0.83,0.557,1,-5.146,1,0.11800000000000001,0.361,0.0,0.249,0.49200000000000005,114.96600000000001,168640,4
1RGcxEKlVL5TSMHqV13etr,0.748,0.406,1,-8.142000000000001,1,0.035,0.685,3.61e-06,0.11800000000000001,0.8109999999999999,100.03399999999999,153094,4
0lXlx9l0CXCwdxRdXCzdpA,0.604,0.787,8,-6.287000000000001,1,0.0299,0.113,0.0723,0.134,0.39,120.04700000000001,290093,4
3EPXxR3ImUwfayaurPi3cm,0.5529999999999999,0.586,11,-6.319,1,0.0362,0.6970000000000001,0.0,0.0813,0.44299999999999995,126.684,196373,4
